Slice,Count,Total Area,Average Size,%Area,Mean
27.02 s,0,0.000,NaN,0.000,NaN
27.21 s,1,0.103,0.103,2.729,205.354
27.40 s,0,0.000,NaN,0.000,NaN
27.59 s,0,0.000,NaN,0.000,NaN
27.78 s,2,0.052,0.026,1.377,255.000
27.98 s,1,0.048,0.048,1.280,202.075
28.17 s,1,0.049,0.049,1.304,217.222
28.36 s,0,0.000,NaN,0.000,NaN
28.55 s,1,0.107,0.107,2.850,183.686
28.74 s,0,0.000,NaN,0.000,NaN
