 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height
86,deuxieme-aiguille-hydrophobe-11-03-24.avi:21.65 s,0.048,182.830,0,255,1.807,0.151,0.301,0.211
87,deuxieme-aiguille-hydrophobe-11-03-24.avi:21.84 s,0.065,212.500,0,255,1.777,0.331,0.331,0.452
88,deuxieme-aiguille-hydrophobe-11-03-24.avi:22.42 s,0.054,255.000,255,255,1.777,0.151,0.331,0.482
89,deuxieme-aiguille-hydrophobe-11-03-24.avi:22.99 s,0.109,197.625,0,255,1.747,0.241,0.361,0.392
90,deuxieme-aiguille-hydrophobe-11-03-24.avi:23.38 s,0.048,182.830,0,255,1.777,0.331,0.331,0.181
91,deuxieme-aiguille-hydrophobe-11-03-24.avi:23.57 s,0.049,221.944,0,255,1.777,0.090,0.331,0.181
92,deuxieme-aiguille-hydrophobe-11-03-24.avi:23.76 s,0.069,221.447,0,255,1.777,0.060,0.331,0.482
93,deuxieme-aiguille-hydrophobe-11-03-24.avi:23.76 s,0.011,255.000,255,255,1.807,0.331,0.120,0.211
94,deuxieme-aiguille-hydrophobe-11-03-24.avi:24.14 s,0.082,226.667,0,255,1.777,0.331,0.331,0.422
95,deuxieme-aiguille-hydrophobe-11-03-24.avi:24.34 s,0.093,198.058,0,255,1.777,0.120,0.361,0.361
96,deuxieme-aiguille-hydrophobe-11-03-24.avi:24.91 s,0.062,202.500,0,255,1.807,0.181,0.301,0.452
97,deuxieme-aiguille-hydrophobe-11-03-24.avi:25.29 s,0.049,240.833,0,255,1.777,0.120,0.361,0.181
98,deuxieme-aiguille-hydrophobe-11-03-24.avi:25.29 s,0.054,199.750,0,255,1.777,0.361,0.331,0.211
99,deuxieme-aiguille-hydrophobe-11-03-24.avi:25.49 s,0.030,255.000,255,255,1.807,0.392,0.301,0.211
100,deuxieme-aiguille-hydrophobe-11-03-24.avi:25.68 s,0.042,194.022,0,255,1.777,0.120,0.331,0.151
101,deuxieme-aiguille-hydrophobe-11-03-24.avi:25.87 s,0.073,213.562,0,255,1.777,0.331,0.331,0.422
102,deuxieme-aiguille-hydrophobe-11-03-24.avi:26.06 s,0.105,202.241,0,255,1.777,0.120,0.361,0.392
103,deuxieme-aiguille-hydrophobe-11-03-24.avi:26.25 s,0.031,255.000,255,255,1.777,0.452,0.331,0.151
104,deuxieme-aiguille-hydrophobe-11-03-24.avi:26.44 s,0.052,187.895,0,255,1.807,0.181,0.301,0.241
105,deuxieme-aiguille-hydrophobe-11-03-24.avi:26.64 s,0.066,227.055,0,255,1.777,0.181,0.331,0.452
106,deuxieme-aiguille-hydrophobe-11-03-24.avi:27.21 s,0.103,205.354,0,255,1.777,0.181,0.361,0.392
107,deuxieme-aiguille-hydrophobe-11-03-24.avi:27.78 s,0.040,255.000,255,255,1.807,0.211,0.331,0.211
108,deuxieme-aiguille-hydrophobe-11-03-24.avi:27.78 s,0.012,255.000,255,255,1.988,0.482,0.090,0.241
109,deuxieme-aiguille-hydrophobe-11-03-24.avi:27.98 s,0.048,202.075,0,255,1.807,0.271,0.301,0.211
110,deuxieme-aiguille-hydrophobe-11-03-24.avi:28.17 s,0.049,217.222,0,255,1.807,0.090,0.331,0.181
111,deuxieme-aiguille-hydrophobe-11-03-24.avi:28.55 s,0.107,183.686,0,255,1.777,0.241,0.361,0.452
