Slice,Count,Total Area,Average Size,%Area,Mean
Basler_acA1920-25um__24398320__20240306_111538447_0071,1,0.033,0.033,0.507,255
Basler_acA1920-25um__24398320__20240306_111538447_0072,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0073,2,0.092,0.046,1.432,255
Basler_acA1920-25um__24398320__20240306_111538447_0074,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0075,2,0.126,0.063,1.957,255
Basler_acA1920-25um__24398320__20240306_111538447_0076,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0077,1,0.135,0.135,2.095,255
Basler_acA1920-25um__24398320__20240306_111538447_0078,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0079,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0080,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0081,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0082,2,0.100,0.050,1.560,255
Basler_acA1920-25um__24398320__20240306_111538447_0083,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0084,2,0.100,0.050,1.556,255
Basler_acA1920-25um__24398320__20240306_111538447_0085,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0086,2,0.139,0.069,2.152,255
Basler_acA1920-25um__24398320__20240306_111538447_0087,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0088,1,0.156,0.156,2.425,255
Basler_acA1920-25um__24398320__20240306_111538447_0089,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0090,2,0.133,0.066,2.063,255
Basler_acA1920-25um__24398320__20240306_111538447_0091,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0092,2,0.160,0.080,2.488,255
Basler_acA1920-25um__24398320__20240306_111538447_0093,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0094,1,0.149,0.149,2.315,255
Basler_acA1920-25um__24398320__20240306_111538447_0095,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0096,1,0.146,0.146,2.262,255
Basler_acA1920-25um__24398320__20240306_111538447_0097,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0098,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0099,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0100,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0101,1,0.074,0.074,1.149,255
Basler_acA1920-25um__24398320__20240306_111538447_0102,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0103,2,0.136,0.068,2.113,255
Basler_acA1920-25um__24398320__20240306_111538447_0104,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0105,1,0.022,0.022,0.344,255
Basler_acA1920-25um__24398320__20240306_111538447_0106,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0107,1,0.062,0.062,0.964,255
