,,DATE,TIME,C,%HR,
139,20/03/2024,15:58:50,21,66,63,7
140,20/03/2024,15:59:50,21,68,63,14
141,20/03/2024,16:00:50,21,68,63,14
142,20/03/2024,16:01:50,21,69,63,19
143,20/03/2024,16:02:50,21,69,63,19
144,20/03/2024,16:03:50,21,69,63,28
145,20/03/2024,16:04:50,21,71,63,33
146,20/03/2024,16:05:50,21,71,63,37
147,20/03/2024,16:06:50,21,69,63,50
148,20/03/2024,16:07:50,21,69,63,56
149,20/03/2024,16:08:50,21,69,63,52
150,20/03/2024,16:09:50,21,72,63,58
151,20/03/2024,16:10:50,21,71,63,57
152,20/03/2024,16:11:50,21,71,63,67
153,20/03/2024,16:12:50,21,72,63,76
154,20/03/2024,16:13:50,21,72,63,75
155,20/03/2024,16:14:50,21,71,63,83
156,20/03/2024,16:15:50,21,73,63,80
157,20/03/2024,16:16:50,21,73,63,74
158,20/03/2024,16:17:50,21,72,63,71
159,20/03/2024,16:18:50,21,73,63,76
160,20/03/2024,16:19:50,21,75,63,77
161,20/03/2024,16:20:50,21,73,63,89
162,20/03/2024,16:21:50,21,73,63,98
163,20/03/2024,16:22:50,21,75,63,98
164,20/03/2024,16:23:50,21,73,63,99
165,20/03/2024,16:24:50,21,73,63,98
166,20/03/2024,16:25:50,21,76,63,99
167,20/03/2024,16:26:50,21,73,64,10
168,20/03/2024,16:27:50,21,76,64,39
