Slice,Count,Total Area,Average Size,%Area,Mean
Basler_acA1920-25um__24398320__20240305_170239698_0313,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0314,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0315,2,0.284,0.142,4.068,255
Basler_acA1920-25um__24398320__20240305_170239698_0316,2,0.105,0.053,1.506,255
Basler_acA1920-25um__24398320__20240305_170239698_0317,2,0.224,0.112,3.217,255
Basler_acA1920-25um__24398320__20240305_170239698_0318,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0319,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0320,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0321,1,0.163,0.163,2.333,255
Basler_acA1920-25um__24398320__20240305_170239698_0322,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0323,2,0.305,0.152,4.368,255
Basler_acA1920-25um__24398320__20240305_170239698_0324,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0325,1,0.027,0.027,0.383,255
Basler_acA1920-25um__24398320__20240305_170239698_0326,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0327,2,0.295,0.147,4.228,255
Basler_acA1920-25um__24398320__20240305_170239698_0328,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0329,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0330,2,0.124,0.062,1.776,255
Basler_acA1920-25um__24398320__20240305_170239698_0331,2,0.274,0.137,3.924,255
Basler_acA1920-25um__24398320__20240305_170239698_0332,1,0.038,0.038,0.546,255
Basler_acA1920-25um__24398320__20240305_170239698_0333,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0334,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0335,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0336,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0337,3,0.281,0.094,4.037,255
Basler_acA1920-25um__24398320__20240305_170239698_0338,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0339,1,0.150,0.150,2.148,255
Basler_acA1920-25um__24398320__20240305_170239698_0340,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0341,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0342,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0343,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0344,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0345,2,0.240,0.120,3.446,255
Basler_acA1920-25um__24398320__20240305_170239698_0346,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0347,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0348,1,0.227,0.227,3.255,255
Basler_acA1920-25um__24398320__20240305_170239698_0349,1,0.177,0.177,2.544,255
Basler_acA1920-25um__24398320__20240305_170239698_0350,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0351,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0352,1,0.022,0.022,0.318,255
Basler_acA1920-25um__24398320__20240305_170239698_0353,2,0.281,0.140,4.023,255
Basler_acA1920-25um__24398320__20240305_170239698_0354,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0355,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0356,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0357,1,0.233,0.233,3.337,255
Basler_acA1920-25um__24398320__20240305_170239698_0358,1,0.173,0.173,2.480,255
Basler_acA1920-25um__24398320__20240305_170239698_0359,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0360,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0361,1,0.033,0.033,0.471,255
Basler_acA1920-25um__24398320__20240305_170239698_0362,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0363,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0364,1,0.189,0.189,2.712,255
Basler_acA1920-25um__24398320__20240305_170239698_0365,1,0.077,0.077,1.103,255
Basler_acA1920-25um__24398320__20240305_170239698_0366,2,0.257,0.129,3.692,255
Basler_acA1920-25um__24398320__20240305_170239698_0367,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0368,2,0.283,0.141,4.057,255
Basler_acA1920-25um__24398320__20240305_170239698_0369,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0370,2,0.273,0.136,3.914,255
Basler_acA1920-25um__24398320__20240305_170239698_0371,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0372,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0373,2,0.286,0.143,4.102,255
Basler_acA1920-25um__24398320__20240305_170239698_0374,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0375,2,0.293,0.147,4.204,255
Basler_acA1920-25um__24398320__20240305_170239698_0376,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0377,2,0.286,0.143,4.109,255
Basler_acA1920-25um__24398320__20240305_170926513_0000,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170926513_0001,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170926513_0002,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170926513_0003,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170926513_0004,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170926513_0005,0,0.000,NaN,0.000,NaN
